month,season,hour,hour_categorized,Primary Type,Arrest,Domestic,Beat,Year
9,0,23,2,BATTERY,0,0,1021,2012
5,1,10,0,BATTERY,0,0,725,2012
5,1,23,2,BATTERY,0,0,432,2012
8,2,10,0,THEFT,0,0,921,2012
7,2,16,1,THEFT,1,0,925,2012
2,3,0,2,THEFT,0,0,711,2012
7,2,15,1,THEFT,0,0,1821,2012
6,2,10,0,THEFT,0,0,111,2012
11,0,11,0,THEFT,0,0,1412,2012
5,1,13,1,BATTERY,0,0,422,2012
8,2,11,0,BATTERY,0,0,1911,2012
2,3,13,1,THEFT,0,0,834,2012
12,3,12,1,THEFT,0,0,121,2012
6,2,14,1,THEFT,0,0,1922,2012
2,3,17,1,BATTERY,1,0,813,2012
3,1,4,2,CRIMINAL DAMAGE,0,0,2431,2012
5,1,21,2,THEFT,0,0,632,2012
3,1,13,1,THEFT,0,0,412,2012
10,0,15,1,BATTERY,0,0,2212,2012
10,0,9,0,BATTERY,0,0,423,2012
1,3,19,2,THEFT,0,0,2532,2012
2,3,13,1,THEFT,0,0,421,2012
4,1,3,2,THEFT,0,0,513,2012
1,3,11,0,THEFT,0,0,2122,2012
7,2,13,1,THEFT,0,0,835,2012
8,2,17,1,BATTERY,0,0,324,2012
6,2,11,0,BATTERY,0,1,531,2012
8,2,3,2,BATTERY,1,0,1824,2012
2,3,6,0,THEFT,0,0,1111,2012
9,0,22,2,NARCOTICS,1,0,421,2012
7,2,17,1,BATTERY,0,1,331,2012
8,2,7,0,CRIMINAL DAMAGE,0,0,1421,2012
4,1,13,1,THEFT,0,0,1114,2012
1,3,22,2,CRIMINAL DAMAGE,0,0,1424,2012
4,1,19,2,BATTERY,1,1,1934,2012
9,0,23,2,THEFT,0,0,2523,2012
12,3,10,0,THEFT,0,0,1112,2012
6,2,20,2,BATTERY,0,0,1533,2012
9,0,20,2,CRIMINAL DAMAGE,0,0,133,2012
3,1,6,0,CRIMINAL DAMAGE,0,0,735,2012
9,0,11,0,THEFT,1,0,234,2012
9,0,13,1,THEFT,0,0,1115,2012
3,1,22,2,NARCOTICS,1,0,1713,2012
1,3,15,1,BATTERY,0,0,1021,2012
8,2,23,2,NARCOTICS,1,0,1522,2012
1,3,19,2,THEFT,0,0,423,2012
4,1,18,2,NARCOTICS,1,0,732,2012
10,0,20,2,THEFT,0,0,2514,2012
9,0,16,1,THEFT,0,0,323,2012
1,3,19,2,BATTERY,0,1,1133,2012
12,3,0,2,THEFT,0,0,2011,2012
1,3,12,1,BATTERY,1,1,1112,2012
10,0,19,2,CRIMINAL DAMAGE,0,0,815,2012
1,3,20,2,BATTERY,0,1,732,2012
2,3,10,0,THEFT,1,0,2311,2012
4,1,23,2,BATTERY,0,1,723,2012
3,1,20,2,NARCOTICS,1,0,312,2012
9,0,9,0,CRIMINAL DAMAGE,0,0,723,2012
5,1,16,1,BATTERY,1,0,313,2012
7,2,9,0,THEFT,0,0,1932,2012
3,1,10,0,NARCOTICS,1,0,2413,2012
